label,time/unit,time/value
The Present Day Earth,years,0
The Breakup of Pangea,years,200000000
The Green Earth,years,340000000
The Snowball Earth,years,650000000
The Microbial Earth,years,1800000000
The Archean Earth,years,3800000000
The Hadean Earth,years,4500000000
